,average_degree,density,longest_path,degree_centralization,betweenness_centralization,003,012,021D,021U,021C,030T,dominant_topic
811915190,2.2016129032258065,0.004456706281833617,0.07258064516129033,0.031829103716138375,0.0019639245549137275,9858.149193548386,267.06451612903226,0.13709677419354838,0.3588709677419355,1.1290322580645162,0.16129032258064516,0
811916626,2.0372670807453415,0.00317331320988371,0.037267080745341616,0.24439252336448597,0.00040065968886171673,16804.98447204969,304.0900621118012,0.018633540372670808,10.102484472049689,0.782608695652174,0.021739130434782608,0
811927440,2.0822784810126582,0.0033052039381153307,0.015822784810126583,0.7984430290162774,5.786886587614515e-05,16258.79430379747,125.49367088607595,0.33544303797468356,100.13607594936708,0.24050632911392406,0.0,2
811927902,2.1939799331103678,0.003681174384413369,0.06688963210702341,0.22231261157435653,0.0034107572731958955,14434.46822742475,307.2909698996655,0.12709030100334448,8.117056856187292,0.9632107023411371,0.033444816053511704,1
811928615,2.0985915492957745,0.0037077589210172696,0.10211267605633803,0.0210009272485778,0.004041425899502415,13006.820422535211,292.5422535211268,0.1443661971830986,0.29577464788732394,1.1126760563380282,0.08450704225352113,0
811929264,2.1285140562248994,0.004291358984324394,0.12048192771084337,0.12955465587044535,0.004462367346766819,9950.29718875502,255.33734939759037,0.10040160642570281,2.5903614457831323,0.8714859437751004,0.13654618473895583,0
811930437,2.090032154340836,0.003371019603775542,0.10932475884244373,0.24970247416222988,0.0058763289319041226,15653.2154340836,300.6752411575563,0.05466237942122187,10.205787781350482,0.8327974276527331,0.01607717041800643,1
811931504,2.496774193548387,0.004040087691825869,0.1,0.11564325641995545,0.015059845545753724,15482.970967741936,373.8774193548387,0.44193548387096776,2.893548387096774,1.4935483870967743,0.3225806451612903,4
811933247,2.1983471074380163,0.004560886115016632,0.09504132231404959,0.041009681881051176,0.006325935618647504,9378.355371900827,259.6404958677686,0.1446280991735537,0.49173553719008267,1.2148760330578512,0.15289256198347106,0
811934015,1.808,0.0036305220883534137,0.02,0.26392667443969425,0.0003089180143296331,10077.704,204.416,0.024,9.42,0.42,0.016,1
811934217,1.9461538461538461,0.003757053757053757,0.13846153846153847,0.07802819430726407,0.005291993978354749,10888.08076923077,246.80769230769232,0.07692307692307693,1.25,0.7615384615384615,0.023076923076923078,4
811934351,2.20125786163522,0.003472015554629685,0.11320754716981132,0.0628518947410454,0.00772015981092961,16350.32075471698,342.3050314465409,0.18238993710691823,1.2641509433962264,1.1823899371069182,0.07861635220125786,0
811935389,2.050359712230216,0.0037010103108848663,0.07194244604316546,0.06890598022288495,0.0017397480800581643,12461.363309352519,278.39208633093523,0.07913669064748201,1.079136690647482,1.0179856115107915,0.0683453237410072,0
811936770,2.0073529411764706,0.003703603212502713,0.04411764705882353,0.07803744704113708,0.0010984377986461309,11926.819852941177,265.65808823529414,0.2977941176470588,1.3823529411764706,0.5514705882352942,0.29044117647058826,1
811937425,1.9303135888501741,0.0033746741063814235,0.07665505226480836,0.12348178137651822,0.00315925027003423,13313.501742160279,267.9547038327526,0.07317073170731707,2.6794425087108014,0.7630662020905923,0.027874564459930314,4
811938067,2.1223021582733814,0.003830870321793107,0.04316546762589928,0.3013655627060116,0.0006383751131641341,12463.28417266187,264.5719424460432,0.07553956834532374,13.266187050359711,0.7841726618705036,0.017985611510791366,4
811940225,2.3529411764705883,0.003857280617164899,0.049019607843137254,0.031837791199309746,0.0009417389213425935,15098.091503267973,353.0098039215686,0.18627450980392157,0.5947712418300654,1.2777777777777777,0.17320261437908496,0
811942799,2.059016393442623,0.0033865401207937877,0.06557377049180328,0.21834288692027098,0.0017758343961127479,15048.855737704918,294.3672131147541,0.022950819672131147,7.934426229508197,0.8,0.019672131147540985,4
